id,tweet_link,tweet_link_decision,text,created_at,favorite_count,retweet_count,lang,user_id,user_name,user_screen_name,twitter_profile_link,twitter_profile_link_decision,botometer_score,botometer_calculation_date,user_followers_count,user_friends_count,user_favourites_count,user_listed_count,user_statuses_count,user_description,user_location,user_created_at,user_verified,user_protected,manual_bot_check,threshold_date,account_age
1497504208924381186,https://twitter.com/Janine03199979/status/1497504208924381186,suspended account,"""'Journalist Bernie Gores', der von den Taliban in Afghanistan im August 2021 """"hingerichtet"""" wurde, starb nun im Februar 2022 erneut als 'Aktivist Bernie Gores' und wurde auf diese Weise ruhmreich das erste amerikanische Todesopfer in der """"Ukraine-Krise"""".  @CNN ??? https://t.co/SZCNpjCDTu""",Sat Feb 26 09:30:00 +0000 2022,5,2,de,1337897274798649347,Janine,Janine03199979,https://twitter.com/Janine03199979,account suspended,0.9,15/09/2022,661,718,20153,0,6930,"Mother...Wife, love my Family, my Garden and Fossils..🌸🌷🌸 + 🦕🦖  Wissen ist eine Holschuld! 🥱😎 GETTR = Itakka",,2020-12-12 23:09:21+00:00,False,False,,2022-02-24 00:00:00+00:00,438
1497502851433701381,https://twitter.com/socialtriger/status/1497502851433701381,suspended account,This is the First Lady of #Ukraine. https://t.co/GwE0sd6nM0,Sat Feb 26 09:24:36 +0000 2022,1247,129,en,1441472255939260416,Social Triger,socialtriger,https://twitter.com/socialtriger,Doesn't exist,,,111,318,102,0,61,This is a place where we discuss and exchange information on lifestyle and better ideas in order to improve society as a whole.,,2021-09-24 18:40:21+00:00,False,False,,2022-02-24 00:00:00+00:00,152
1496438692889739267,https://twitter.com/fotoshuma/status/1496438692889739267,,"""""""The Japanese ambassador to Ukraine stayed in Kiev, he was delivered from Tokyo his great-grandfather's samurai sword and traditional armor. Dressed in them, he declared that the samurai must protect the country in which he is! Glory to Japan! Glory to Ukraine!""""#Ukraine https://t.co/DSKwzZuFBK""",Wed Feb 23 10:56:01 +0000 2022,5884,948,en,1492251392161030149,fotoshuma,fotoshuma,https://twitter.com/fotoshuma,Doesn't exist,,,56,0,0,0,56,"I am a photographer, I love to open new horizons. Subscribe to my twitter, I will post interesting photos",,2022-02-11 21:37:28+00:00,False,False,,2022-02-24 00:00:00+00:00,12
1497229669019574274,https://twitter.com/jimsciutto/status/1497229669019574274,,"""Read Putin’s latest words on Ukraine’s elected leaders and decide if he’s serious about negotiating:  """"This gang of drug addicts and neo-Nazis that has settled in Kyiv and taken hostage the entire Ukrainian people.""""""",Fri Feb 25 15:19:04 +0000 2022,2236,615,en,22129280,Jim Sciutto,jimsciutto,https://twitter.com/jimsciutto,,0.0,27/05/2023,520989,1168,4591,6126,37321,"CNN Anchor & Chief Nat Sec Correspondent, Author, “The Madman Theory” and “The Shadow War” https://www.harpercollins.com/blogs/authors/jim-sciutto","Washington, DC & New York, NY",2009-02-27 11:07:05+00:00,True,False,,2022-02-24 00:00:00+00:00,4744
1497553197958787074,https://twitter.com/AravinthanD2/status/1497553197958787074,deleted post,#UkraineRussiaWar Two Ukrainian kids seen Paying their respect to Ukraine troops heading to the war front . True Patriotism #Ukraine 🇺🇦 ✊🏾#RussiaUkraineWar      #UkraineRussiaWar https://t.co/zHvfZKNAia,Sat Feb 26 12:44:40 +0000 2022,24,6,en,1386993972728369161,Tweet to trend தமிழா,AravinthanD2,https://twitter.com/AravinthanD2,Doesn't exist,,,14,137,63,0,81,Trending with Twitter தமிழா 👑  Follow for more information   தமிழ் பசங்க follow பன்னுங்க 😍  🎯 AIM 1K FOLLOWERS ON TWITTER 🎯  💯 follow back,,2021-04-27 10:42:38+00:00,False,False,,2022-02-24 00:00:00+00:00,302
1497212500554702853,https://twitter.com/jimboRespecter/status/1497212500554702853,suspended account,"BREAKING NEWS: Ghost of Kyiv has been shot down per @APNews he had 15 kills. No parachute, he leaves behind his husband and 3 dogs. RIP Ghost https://t.co/hkBwjJF2Cc",Fri Feb 25 14:10:51 +0000 2022,789,149,en,1481103730716168193,🇺🇸🦅😎 JIMBO (no kneeling) DICKSON🇺🇸🦅😎,jimboRespecter,https://twitter.com/jimboRespecter,account suspended,,,550,256,2852,7,587,I LOVE GOD 🙏🏻🧎 AND DONALD TRUMP 🦅🇺🇸🦅🇺🇸🦅🇺🇸🦅🇺🇸,,2022-01-12 03:20:33+00:00,False,False,,2022-02-24 00:00:00+00:00,42
1497622030283423747,https://twitter.com/HooligansTV_eu/status/1497622030283423747,,"""Moldova. 26.02.2022  FC Zimbru Chișinău fans with a loud shout """"Slavă Ucrainei"""" (Glory to Ukraine)  #UkraineWar https://t.co/ZpEezZ0FIN""",Sat Feb 26 17:18:11 +0000 2022,254,69,ro,2994470129,HooligansTV,HooligansTV_eu,https://twitter.com/HooligansTV_eu,,0.1,31/05/2023,59142,164,73,91,2634,"(18+) Here you will see info, photos and videos associated with football hooligans.",,2015-01-23 17:32:30+00:00,False,False,,2022-02-24 00:00:00+00:00,2588
1497134141627850789,https://twitter.com/franakviacorka/status/1497134141627850789,,"In Ukraine, a Russian tank had driven over the civilian car. Terrifying footage. My thoughts are with the people of Ukraine. https://t.co/hmIDNCUeus",Fri Feb 25 08:59:29 +0000 2022,28959,11905,en,81572408,Franak Viačorka,franakviacorka,https://twitter.com/franakviacorka,,0.1,26/05/2023,77368,3497,6313,1166,16907,Senior Advisor to Sviatlana Tsikhanouskaya Contact: franak@tsikhanouskaya.org,"Minsk, Belarus",2009-10-11 11:09:21+00:00,True,False,,2022-02-24 00:00:00+00:00,4518
1497446929248264195,https://twitter.com/ReporteYa/status/1497446929248264195,,"#26Feb #Guerra #Ucrania #Rudsia Antes del amanecer de este sábado en #Ucrania, continúan las explosiones y detonaciones en los alrededores de #Kiev; ciudadanos ucranianos responden con bombas molotov, incendian tanques rusos.  https://t.co/o3ZdkE4wcw",Sat Feb 26 05:42:23 +0000 2022,1496,972,es,221378668,Reporte Ya,ReporteYa,https://twitter.com/ReporteYa,,0.8,01/06/2023,983548,88777,30584,2747,809651,La Fundación ReporteYa es la red pionera de Periodismo Ciudadano y alfabetización digital en Venezuela. Dicta talleres sobre uso efectivo de redes sociales,Venezuela,2010-11-30 14:16:26+00:00,False,False,,2022-02-24 00:00:00+00:00,4103
1496904999456370690,https://twitter.com/Sc0ttishKoala/status/1496904999456370690,deleted post,"""Following the exploits of a Fulcrum pilot nicknamed """"The Ghost of Kyiv"""" who has scored a confirmed three if not four aerial victories today (working on verifying the fourth). Footage is old, but it's him. What a fucking chad  Don't count the Ukrainian Air Force out just yet""",Thu Feb 24 17:48:57 +0000 2022,12672,2401,en,898524398486929408,theScottishKoala - ArmorCast,Sc0ttishKoala,https://twitter.com/Sc0ttishKoala,,0.2,02/06/2023,3887,89,2584,9,4387,"Heavily accented history and gaming. He/Him. Contrary to popular belief, I am in fact well aware that Koalas do not live in Scotland","Adelaide, South Australia",2017-08-18 12:38:05+00:00,False,False,,2022-02-24 00:00:00+00:00,1650
1496775905192161280,https://twitter.com/KyivPost/status/1496775905192161280,,"Dear friends and supporters. Our main Kyiv Post site has been under constant cyber attack today from the moment Russia launched its military offensive against Ukraine. We are and will be, doing our best to keep you informed in this difficult time.  Slava Ukrayini! Heroyam Slava!",Thu Feb 24 09:15:59 +0000 2022,27916,4331,en,14106476,KyivPost,KyivPost,https://twitter.com/KyivPost,,0.0,03/06/2023,265238,1557,2191,4008,54649,The award-winning Kyiv Post is the top international source of English-language news about Ukraine since 1995.,"#Kyiv, #Ukraine",2008-03-09 08:15:00+00:00,True,False,,2022-02-24 00:00:00+00:00,5099
1496993584716918791,https://twitter.com/josegirot_/status/1496993584716918791,limited engagement,La imagen más compartida del día.  #PrayForUkraine #Ucraina #Ukraine #UcraniaBajoAtaque #UkraineRussie https://t.co/VKA7X8knEU,Thu Feb 24 23:40:58 +0000 2022,16681,3159,es,1918082094,José Girot,josegirot_,https://twitter.com/josegirot_,,0.7,20/05/2023,89,319,166,7,310,Estudiante de ing. eléctrica.  venezolano 🇻🇪,"Puerto La Cruz, Venezuela",2013-09-29 20:51:47+00:00,False,False,,2022-02-24 00:00:00+00:00,3069
1496712564335599626,https://twitter.com/holmescnn/status/1496712564335599626,,image from the Ukrainian President’s office sent to CNN's @mchancecnn following the loud explosions the team heard on the ground in #Kyiv  #Ukraine https://t.co/IpJTDdmSCc,Thu Feb 24 05:04:17 +0000 2022,12743,6550,en,34312259,Michael Holmes,holmescnn,https://twitter.com/holmescnn,,0.4,18/05/2023,32785,3084,6003,764,16272,Australian anchor and correspondent for CNN International. Anchors CNN Newsroom Friday-Monday in the wee hours.   11-time Emmy loser.,"Atlanta, Georgia, USA",2009-04-22 16:07:07+00:00,True,False,,2022-02-24 00:00:00+00:00,4690
1497188964377239581,https://twitter.com/RihoTerras/status/1497188964377239581,,A Russian tank in #Ukraine with a flag of the Soviet Union. Putin's ambitions could not be more transparent. #StandWithUkraine @EPPGroup @MFAestonia @estNATO @MoD_Estonia https://t.co/ZmFECw91WS,Fri Feb 25 12:37:20 +0000 2022,391,129,en,1260515654811242498,Riho Terras,RihoTerras,https://twitter.com/RihoTerras,,0.4,24/05/2023,31468,634,3929,516,424,"Member of European Parliament @EPPGroup 🇪🇪 @EP_Industry,  @EP_Agriculture. Deputy coordinator for @EP_ArtifIntel. Former Chief of Defence of Estonia.",Brussels,2020-05-13 10:22:44+00:00,True,False,,2022-02-24 00:00:00+00:00,651
1497356125087297536,https://twitter.com/Divergente_4528/status/1497356125087297536,,La verdadera razón de Pútin en Ucrania es que destruyó 7 de los 11 biolaboratorios secretos estadounidenses. Pútin quiere liberar a los ucranianos de esos laboratorios y es por eso que es el enemigo número 1 de los rothschild. El banco Central de Ucrania es de los rothschild https://t.co/dTjhXWmoCa,Fri Feb 25 23:41:34 +0000 2022,47,29,es,1436291479836708877,Divergente,Divergente_4528,https://twitter.com/Divergente_4528,,0.6,18/12/2022,458,214,466,3,549,🇦🇷 🇮🇹 Sos el dios que quieren destruir todo lo que te rodea fue creado para que no lo sepas y no desarrolles tus habilidades.,Ciudad Autónoma de Buenos Aire,2021-09-10 11:33:06+00:00,False,False,,2022-02-24 00:00:00+00:00,166
1496857321909239818,https://twitter.com/euronews/status/1496857321909239818,,"🇺🇦 A Ukrainian woman is injured in the bombing of a residential building in the city of Chuguev, Ukraine.  Explosions have been rocking cities and towns in Ukraine since Thursday morning as Russian troops and tanks moved in. #UkraineRussia https://t.co/bMLUEk5llZ",Thu Feb 24 14:39:30 +0000 2022,3879,1277,en,25067168,euronews,euronews,https://twitter.com/euronews,,0.1,01/06/2023,503287,1108,3246,8766,157811,All Views | We tweet in 12 languages. Choose yours: http://bit.ly/2uKDCB3 | You can DM us to contact the newsroom,Europe,2009-03-18 12:57:11+00:00,True,False,,2022-02-24 00:00:00+00:00,4725
1497196542138196000,https://twitter.com/NeilPHauer/status/1497196542138196000,,"Another video from Grozny, Chechnya sent to me by local source today. Thousands of additional Chechen government forces being deployed to Ukraine as part of Russia's occupation force. https://t.co/4c8tJS1bqp",Fri Feb 25 13:07:26 +0000 2022,9712,4814,en,2467139606,Neil Hauer,NeilPHauer,https://twitter.com/NeilPHauer,,0.1,30/05/2023,70736,1065,31227,2033,19328,"Russia, Ukraine & Caucasus: Armenia, Georgia, Chechnya etc for @bneintellinews. Stories @CNN, @guardian, @AJEnglish etc. 🇨🇦 neil.hauer@gmail.com. Eng/рус/հայ.",Currently: Ukraine,2014-04-28 03:24:23+00:00,True,False,,2022-02-24 00:00:00+00:00,2858
1497002446316474382,https://twitter.com/elijahwood/status/1497002446316474382,,My heart is with Ukraine and its people. 🇺🇦,Fri Feb 25 00:16:10 +0000 2022,18096,1469,en,215060612,Elijah Wood,elijahwood,https://twitter.com/elijahwood,,0.0,14/05/2023,970192,3410,47871,4863,20317,@_Spectrevision,,2010-11-12 22:19:11+00:00,True,False,,2022-02-24 00:00:00+00:00,4121
1498093980130570242,https://twitter.com/kosmi64833127/status/1498093980130570242,,"Here's possible IR signal left by that explosion near #Palanka, #Ukraine.  Image taken by #Sentinel2 on Feb.24.   I've subtracted cloud band from SWIR just to make sure those aren't clouds and got this.   @WED_explorer @AuroraIntel  https://t.co/pRV4FLtMLe #war #RussiaUkraineWar https://t.co/QK23nt20T2",Mon Feb 28 00:33:32 +0000 2022,5,1,en,1368902640181145600,kosmi,kosmi64833127,https://twitter.com/kosmi64833127,,1.4,01/06/2023,831,274,29057,10,2292,"I'm posting various satellite images, mostly Sentinel and Landsat.",,2021-03-08 12:33:30+00:00,False,False,,2022-02-24 00:00:00+00:00,352
1497514747385757699,https://twitter.com/SkyNews/status/1497514747385757699,,Sky News has verified and located two videos which show a missile hitting an apartment block in the west of Kyiv. No deaths have been reported.  Live updates: https://t.co/cz5NTchyMw https://t.co/jAFd1SwIlm,Sat Feb 26 10:11:52 +0000 2022,254,177,en,7587032,Sky News,SkyNews,https://twitter.com/SkyNews,,0.5,01/06/2023,7566554,23,1,29345,510919,"For breaking news @SkyNewsBreak. Watch live on Sky 501, Virgin Media HD 602, Freeview 233 and YouTube.  Download our app: http://onelink.to/skynews","London, UK",2007-07-19 14:42:53+00:00,True,False,,2022-02-24 00:00:00+00:00,5333
1497123956318523392,https://twitter.com/AlexKhrebet/status/1497123956318523392,,An armed #Russia's vehicle ran over a civilian car just on the streets of Obolon district in Kyiv. #Ukraine https://t.co/JgbshmBEhN,Fri Feb 25 08:19:01 +0000 2022,4327,1809,en,86302370,Alexander Khrebet/Олександр Хребет,AlexKhrebet,https://twitter.com/AlexKhrebet,,0.6,30/05/2023,7589,998,6356,413,16911,@ZN_UA's international desk editor  Редактор видання Дзеркало тижня  #Ukraine and post-Soviet area a.khrebet@zn.ua khrebetis@gmail.com,"Kyiv, Donetsk, Ukraine",2009-10-30 12:36:36+00:00,True,False,,2022-02-24 00:00:00+00:00,4499
1496927375367589891,https://twitter.com/ABC/status/1496927375367589891,,"People attend an anti-war protest in Saint Petersburg, Russia, amid Vladimir Putin's invasion of Ukraine.   LIVE UPDATES: https://t.co/rxHToef8pN https://t.co/qetjJqGPOb",Thu Feb 24 19:17:52 +0000 2022,63989,15155,en,28785486,ABC News,ABC,https://twitter.com/ABC,,0.2,01/06/2023,17216836,488,39,64835,377591,"All the news and information you need to see, curated by the @ABC News team. Watch full ABC News broadcasts on @Hulu: http://abcn.ws/3bJ62RK",New York City / Worldwide,2009-04-04 12:40:32+00:00,True,False,,2022-02-24 00:00:00+00:00,4708
1498149430545068033,https://twitter.com/nexta_tv/status/1498149430545068033,,The situation in #Kyiv remains under control of the Armed Forces of #Ukraine. https://t.co/1SxhmiWSIx,Mon Feb 28 04:13:53 +0000 2022,5112,764,en,1891490382,NEXTA,nexta_tv,https://twitter.com/nexta_tv,,0.0,01/06/2023,611916,130,1134,4236,3705,The largest Eastern European media. To let the world know.,,2013-09-21 21:24:04+00:00,True,False,,2022-02-24 00:00:00+00:00,3077
1496972684915265537,https://twitter.com/SenatorLankford/status/1496972684915265537,,Russia is funding their unprovoked attack on Ukraine through their oil &amp; gas revenue. Biden needs to open up the Keystone Pipeline &amp; cut off the spigot to Russia’s oil &amp; gas. https://t.co/wEwSrsRqdo,Thu Feb 24 22:17:55 +0000 2022,353,119,en,225921757,Sen. James Lankford,SenatorLankford,https://twitter.com/SenatorLankford,,0.1,01/06/2023,114722,694,1453,2149,9656,"Follower of Christ, husband to Cindy, father of two daughters serving the state of Oklahoma in the United States Senate.","Oklahoma and Washington, DC",2010-12-12 20:33:07+00:00,True,False,,2022-02-24 00:00:00+00:00,4091
